dataset,run,Event #,generation,time,current_optimal,optimality_gap
0,0,0,0,0.050756693,6529,4509
0,0,1,1,3.247059107,2484,464
0,0,2,2,6.439985991,2103,83
0,0,3,3,9.546668768,2081,61
0,0,4,4,12.66664767,2056,36
0,0,5,5,15.84316397,2046,26
0,0,6,6,19.01832271,2041,21
0,0,7,7,22.1297636,2033,13
0,0,8,11,35.63973904,2033,13
0,1,0,0,0.026386023,6957,4937
0,1,1,1,3.608735561,2362,342
0,1,2,2,7.555240154,2211,191
0,1,3,4,13.89747238,2203,183
0,1,4,5,17.23276734,2030,10
0,1,5,6,20.38615155,2028,8
0,1,6,10,33.34839296,2028,8
0,2,0,0,0.023970842,5369,3349
0,2,1,1,3.0794034,2450,430
0,2,2,2,6.380507231,2180,160
0,2,3,3,9.616302729,2102,82
0,2,4,4,13.00210333,2099,79
0,2,5,5,15.69889402,2086,66
0,2,6,10,29.41424131,2086,66
0,3,0,0,0.018949032,6693,4673
0,3,1,1,2.738679647,2624,604
0,3,2,2,5.483342648,2121,101
0,3,3,3,8.228005409,2114,94
0,3,4,4,11.00059581,2054,34
0,3,5,5,14.22100449,2022,2
0,3,6,7,20.3805418,2020,0
0,3,7,7,20.38951802,2020,0
0,4,0,0,0.02094245,5987,3967
0,4,1,1,2.756631136,2463,443
0,4,2,2,5.485338211,2134,114
0,4,3,3,8.214044333,2042,22
0,4,4,4,10.90983725,2034,14
0,4,5,8,21.90445375,2034,14
1,0,0,0,0.034906626,1676,1250
1,0,1,1,4.869506836,793,367
1,0,2,2,9.632794619,606,180
1,0,3,3,14.42598248,540,114
1,0,4,4,19.08852005,500,74
1,0,5,5,23.88969064,480,54
1,0,6,6,28.71981692,469,43
1,0,7,11,52.24943495,469,43
1,1,0,0,0.032912016,1483,1057
1,1,1,1,4.693456173,809,383
1,1,2,2,9.405859947,564,138
1,1,3,3,14.13173485,487,61
1,1,4,4,19.01599741,476,50
1,1,5,5,23.7493453,470,44
1,1,6,10,47.30193329,470,44
1,2,0,0,0.032912254,1637,1211
1,2,1,1,4.638555527,854,428
1,2,2,2,9.262216568,633,207
1,2,3,3,14.03446031,534,108
1,2,4,4,18.87754774,495,69
1,2,5,6,28.28043318,493,67
1,2,6,7,32.99084139,489,63
1,2,7,8,37.62844682,482,56
1,2,8,9,42.30095696,471,45
1,2,9,10,47.07621765,456,30
1,2,10,11,51.633039,449,23
1,2,11,13,60.9521296,448,22
1,2,12,17,79.57083678,448,22
1,3,0,0,0.031914711,1640,1214
1,3,1,1,4.780081987,923,497
1,3,2,2,9.415709734,679,253
1,3,3,3,14.0582993,562,136
1,3,4,4,18.70687509,505,79
1,3,5,5,23.26869464,475,49
1,3,6,6,27.87738252,462,36
1,3,7,11,50.73505211,462,36
1,4,0,0,0.031914473,1598,1172
1,4,1,1,4.674506426,840,414
1,4,2,2,9.4088521,594,168
1,4,3,3,14.16466975,518,92
1,4,4,4,18.87607598,482,56
1,4,5,9,42.59170938,482,56
2,0,0,0,0.062831402,165861,144579
2,0,1,1,8.999974489,98544,77262
2,0,2,2,17.96306348,69905,48623
2,0,3,3,26.97298145,54791,33509
2,0,4,4,35.93653631,46887,25605
2,0,5,5,47.35421491,40365,19083
2,0,6,6,58.60713124,35847,14565
2,0,7,7,68.40401244,32203,10921
2,0,8,8,77.66126823,29323,8041
2,0,9,9,86.91861558,27699,6417
2,0,10,10,95.9913888,27291,6009
2,0,11,11,105.124975,26350,5068
2,0,12,12,114.4430895,25950,4668
2,0,13,13,123.7551823,25838,4556
2,0,14,14,133.1286895,25441,4159
2,0,15,15,142.9775379,24979,3697
2,0,16,16,152.3297122,24544,3262
2,0,17,17,161.5849741,24310,3028
2,0,18,18,170.6921782,23824,2542
2,0,19,19,179.9070172,23805,2523
2,0,20,20,188.9727862,23686,2404
2,0,21,21,198.0724919,23648,2366
2,0,22,25,234.9160342,23648,2366
2,1,0,0,0.064826488,162324,141042
2,1,1,1,9.286177158,100403,79121
2,1,2,2,18.49009919,73885,52603
2,1,3,3,27.69948173,60055,38773
2,1,4,4,36.87845659,51627,30345
2,1,5,5,46.10579038,45695,24413
2,1,6,6,55.32913971,41155,19873
2,1,7,7,64.63034582,37393,16111
2,1,8,8,73.88161945,33443,12161
2,1,9,9,83.08078432,30614,9332
2,1,10,10,92.25269651,29567,8285
2,1,11,11,102.9665961,28721,7439
2,1,12,12,112.2419879,27680,6398
2,1,13,13,121.3227291,27342,6060
2,1,14,14,130.5550737,27159,5877
2,1,15,15,139.7638783,26879,5597
2,1,16,16,149.060519,26323,5041
2,1,17,17,158.0829394,26170,4888
2,1,18,18,167.0818861,25859,4577
2,1,19,19,176.0561376,25833,4551
2,1,20,20,185.0221367,25726,4444
2,1,21,21,193.91837,25711,4429
2,1,22,22,202.9312298,25700,4418
2,1,23,23,211.9032257,25602,4320
2,1,24,24,220.9256349,25530,4248
2,1,25,25,229.8687558,25406,4124
2,1,26,26,238.7550075,25388,4106
2,1,27,27,247.6382682,25350,4068
2,1,28,30,274.561769,25325,4043
2,1,29,34,310.5679913,25309,4027
2,1,30,37,337.7984095,25225,3943
2,1,31,38,346.7903762,25033,3751
2,1,32,40,364.8760381,25033,3751
2,2,0,0,0.063823223,168529,147247
2,2,1,1,9.012921095,102717,81435
2,2,2,2,17.93055844,74493,53211
2,2,3,3,26.89156532,57791,36509
2,2,4,4,36.09610081,48924,27642
2,2,5,5,45.22015452,43031,21749
2,2,6,6,54.4016397,39343,18061
2,2,7,7,63.64094353,36740,15458
2,2,8,8,72.74760699,33954,12672
2,2,9,9,81.87969828,32631,11349
2,2,10,10,90.98723388,31362,10080
2,2,11,11,100.0595033,29444,8162
2,2,12,12,109.2539051,28122,6840
2,2,13,13,119.4177527,27625,6343
2,2,14,14,128.5922298,26837,5555
2,2,15,15,137.840519,26703,5421
2,2,16,16,147.0309765,26031,4749
