dataset,run,Event #,generation,time,current_optimal,optimality_gap
0,0,0,0,0.143993855,2172,152
0,0,1,1,0.215370893,2086,66
0,0,2,3,0.307359219,2085,65
0,0,3,11,3.442816257,2064,44
0,0,4,12,7.661102295,2036,16
0,0,5,23,43.6675899,2034,14
0,0,6,25,49.70271492,2020,0
0,1,0,0,0.058248043,2311,291
0,1,1,1,0.106286287,2292,272
0,1,2,2,0.172552347,2110,90
0,1,3,4,0.306810379,2040,20
0,1,4,13,9.017459631,2034,14
0,1,5,15,14.53680038,2020,0
0,2,0,0,0.048011541,2408,388
0,2,1,1,0.102852583,2267,247
0,2,2,2,0.158826828,2229,209
0,2,3,10,0.56789875,2033,13
0,2,4,15,14.35688829,2031,11
0,2,5,17,21.05467749,2020,0
0,3,0,0,0.063045979,2378,358
0,3,1,2,0.174359798,2196,176
0,3,2,4,0.280645132,2066,46
0,3,3,11,3.875696898,2045,25
0,3,4,14,12.08145928,2034,14
0,3,5,17,20.30115604,2031,11
0,3,6,19,25.83183837,2020,0
0,4,0,0,0.050289631,2248,228
0,4,1,1,0.096672535,2232,212
0,4,2,2,0.152601719,2195,175
0,4,3,3,0.207142115,2165,145
0,4,4,6,0.372794151,2065,45
0,4,5,11,3.401759624,2036,16
0,4,6,15,14.24013972,2032,12
0,4,7,19,24.38510108,2026,6
1,0,0,0,0.176527977,513,87
1,0,1,1,0.329120159,476,50
1,0,2,3,0.635303259,461,35
1,0,3,7,1.255643845,450,24
1,0,4,11,9.461233616,445,19
1,0,5,12,17.0090785,435,9
1,0,6,15,39.3174901,432,6
1,0,7,24,105.5841987,427,1
1,1,0,0,0.129653454,484,58
1,1,1,1,0.30019784,457,31
1,1,2,11,9.258760452,449,23
1,1,3,12,16.52533722,435,9
1,1,4,19,67.71612,433,7
1,2,0,0,0.155584335,475,49
1,2,1,5,0.950465918,471,45
1,2,2,8,1.414219856,461,35
1,2,3,12,9.535513639,444,18
1,2,4,13,16.78516626,442,16
1,2,5,17,46.48378825,441,15
1,2,6,19,61.49271417,438,12
1,2,7,21,76.17847967,433,7
1,3,0,0,0.162564993,470,44
1,3,1,1,0.313166142,451,25
1,3,2,12,9.444755077,445,19
1,3,3,13,16.55598545,443,17
1,3,4,14,23.79315042,441,15
1,3,5,18,52.97652435,439,13
1,3,6,32,153.6080379,438,12
1,4,0,0,0.146622181,510,84
1,4,1,1,0.31116724,509,83
1,4,2,2,0.446805,474,48
1,4,3,3,0.598400354,465,39
1,4,4,12,9.272708178,452,26
1,4,5,13,16.54826331,450,24
1,4,6,16,38.63875294,441,15
1,4,7,20,68.16635847,440,14
1,4,8,22,83.18321824,439,13
1,4,9,24,98.26328635,437,11
1,4,10,35,181.7994347,435,9
2,0,0,0,0.630315781,22782,1500
2,0,1,4,3.169526339,22217,935
2,0,2,12,68.76865625,22076,794
2,0,3,14,129.0519748,21742,460
2,0,4,15,159.5220392,21527,245
2,1,0,0,0.576400042,26607,5325
2,1,1,1,1.216190338,24959,3677
2,1,2,3,2.801537275,24355,3073
2,1,3,11,49.3480525,22689,1407
2,1,4,12,81.60842514,22630,1348
2,1,5,14,141.6478882,22484,1202
2,1,6,20,319.3092945,22378,1096
2,1,7,25,463.5800371,22082,800
2,1,8,28,554.5962791,21894,612
2,1,9,32,671.8475077,21877,595
2,2,0,0,0.668366432,26752,5470
2,2,1,1,1.257356644,25282,4000
2,2,2,3,2.488922834,25013,3731
2,2,3,6,4.418464899,23966,2684
2,2,4,11,36.98489022,21847,565
2,2,5,17,212.2670543,21776,494
2,2,6,28,532.5166755,21750,468
2,2,7,31,619.7243381,21731,449
2,2,8,32,649.8758414,21558,276
2,3,0,0,0.592416048,24440,3158
2,3,1,6,4.305491447,22761,1479
2,3,2,11,36.65523243,22572,1290
2,3,3,12,66.693748,22559,1277
2,3,4,13,96.10571098,21583,301
2,3,5,29,554.54107,21543,261
2,4,0,0,0.702123165,24654,3372
2,4,1,2,1.907860041,23023,1741
2,4,2,11,36.83286428,22145,863
2,4,3,12,65.27914643,21716,434
2,4,4,22,351.6451573,21696,414
2,4,5,24,411.7407279,21461,179
